,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
gamma_00,-0.2141,0.0102,-0.2332,-0.195,0.0001,0.0001,6498.6221,6478.0406,1.0002
gamma_10,-0.5665,0.0131,-0.5913,-0.5423,0.0002,0.0001,5848.8586,6400.9994,1.0001
beta_def,0.314,0.0091,0.2967,0.3311,0.0001,0.0001,12811.8735,6059.8873,1.0008
beta_sc,0.0994,0.0069,0.0865,0.1124,0.0001,0.0001,15663.9394,5493.3199,1.0018
beta_clutch,-0.143,0.0365,-0.211,-0.074,0.0003,0.0005,19492.7026,5517.6705,1.0
chol_cov_stds[0],0.1012,0.0111,0.0791,0.1208,0.0002,0.0001,3374.0847,5208.9824,1.0016
chol_cov_stds[1],0.1382,0.0116,0.1159,0.1591,0.0002,0.0001,3002.3883,5639.2309,1.0017
