,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
prior_A,0,-64331.37491123621,260.70578004709387,0.0,0.9999999999658238,76.43687744161774,0.0,False,log
prior_B,1,-64398.23028021313,286.51842133980244,66.85536897691398,3.417632843394358e-11,69.5008252719718,10.592104831618697,False,log
